bird|Doctors say not to worry about the bird flu because it's tweetable
older|I always wanted to marry an Archeologist, the older I would get, the more interested they would become!
gummy|I hope when I inevitably choke to death on gummy bears people just say I was killed by bears and leave it at that
cake|It's always a good idea to make friends with babies, that's free cake once a year for a lifetime
oreo|Ice hockey is basically just guys wearing knife shoes fighting each other with long sticks for the last Oreo
chips|Up until I bought this bag of chips I thought the air was free
seafood|I am on a seafood diet, Every time I see food, I eat it
vegetables|I was going to share a vegetable joke but it's corny
dog|Occasionally, a true friend gives their paw not their hand
people|TRUE FRIENDSHIP: Walking into a persons house and your wifi connects automatically
math|You give me Epsilon, I give you Delta. Together, we find limits
music|Putting your iPod on shuffle around your friends is like playing Russian roulette with their respect for you
time|Have you ever tried to eat a clock? It's very time consuming
girl|I met a girl at an internet cafe, but we didn't click
exam|Everything you want is out there waiting for you to ask, Everything you want also wants you. But you have to take action to get it
smile|I'm smiling back at you
cool|Cool as a winter breeze
face|Hello there! You have a cool face!
glasses|Sometimes all you need is a new perspective
